country,continent,year,metric,value
Algeria,Africa,1952,gdpPercap,2449.008185
Algeria,Africa,1952,lifeExp,43.077
Algeria,Africa,1952,pop,9279525.0
Algeria,Africa,1957,gdpPercap,3013.976023
Algeria,Africa,1957,lifeExp,45.685
Algeria,Africa,1957,pop,10270856.0
Algeria,Africa,1962,gdpPercap,2550.81688
Algeria,Africa,1962,lifeExp,48.303
Algeria,Africa,1962,pop,11000948.0
Algeria,Africa,1967,gdpPercap,3246.991771
Algeria,Africa,1967,lifeExp,51.407
Algeria,Africa,1967,pop,12760499.0
Algeria,Africa,1972,gdpPercap,4182.663766
Algeria,Africa,1972,lifeExp,54.518
Algeria,Africa,1972,pop,14760787.0
Algeria,Africa,1977,gdpPercap,4910.416756
Algeria,Africa,1977,lifeExp,58.014
Algeria,Africa,1977,pop,17152804.0
Algeria,Africa,1982,gdpPercap,5745.160213
Algeria,Africa,1982,lifeExp,61.368
Algeria,Africa,1982,pop,20033753.0
Algeria,Africa,1987,gdpPercap,5681.358539
Algeria,Africa,1987,lifeExp,65.799
Algeria,Africa,1987,pop,23254956.0
Algeria,Africa,1992,gdpPercap,5023.216647
Algeria,Africa,1992,lifeExp,67.744
Algeria,Africa,1992,pop,26298373.0
Algeria,Africa,1997,gdpPercap,4797.295051
Algeria,Africa,1997,lifeExp,69.152
Algeria,Africa,1997,pop,29072015.0
Algeria,Africa,2002,gdpPercap,5288.040382
Algeria,Africa,2002,lifeExp,70.994
Algeria,Africa,2002,pop,31287142.0
Algeria,Africa,2007,gdpPercap,6223.367465
Algeria,Africa,2007,lifeExp,72.301
Algeria,Africa,2007,pop,33333216.0
Angola,Africa,1952,gdpPercap,3520.610273
Angola,Africa,1952,lifeExp,30.015
Angola,Africa,1952,pop,4232095.0
Angola,Africa,1957,gdpPercap,3827.940465
Angola,Africa,1957,lifeExp,31.999
Angola,Africa,1957,pop,4561361.0
Angola,Africa,1962,gdpPercap,4269.276742
Angola,Africa,1962,lifeExp,34.0
Angola,Africa,1962,pop,4826015.0
Angola,Africa,1967,gdpPercap,5522.776375
Angola,Africa,1967,lifeExp,35.985
Angola,Africa,1967,pop,5247469.0
Angola,Africa,1972,gdpPercap,5473.288005
Angola,Africa,1972,lifeExp,37.928
Angola,Africa,1972,pop,5894858.0
Angola,Africa,1977,gdpPercap,3008.647355
Angola,Africa,1977,lifeExp,39.483
Angola,Africa,1977,pop,6162675.0
Angola,Africa,1982,gdpPercap,2756.953672
Angola,Africa,1982,lifeExp,39.942
Angola,Africa,1982,pop,7016384.0
Angola,Africa,1987,gdpPercap,2430.208311
Angola,Africa,1987,lifeExp,39.906
Angola,Africa,1987,pop,7874230.0
Angola,Africa,1992,gdpPercap,2627.845685
Angola,Africa,1992,lifeExp,40.647
Angola,Africa,1992,pop,8735988.0
Angola,Africa,1997,gdpPercap,2277.140884
Angola,Africa,1997,lifeExp,40.963
Angola,Africa,1997,pop,9875024.0
Angola,Africa,2002,gdpPercap,2773.287312
Angola,Africa,2002,lifeExp,41.003
Angola,Africa,2002,pop,10866106.0
Angola,Africa,2007,gdpPercap,4797.231267
Angola,Africa,2007,lifeExp,42.731
Angola,Africa,2007,pop,12420476.0
Benin,Africa,1952,gdpPercap,1062.7522
Benin,Africa,1952,lifeExp,38.223
Benin,Africa,1952,pop,1738315.0
Benin,Africa,1957,gdpPercap,959.6010805
Benin,Africa,1957,lifeExp,40.358
Benin,Africa,1957,pop,1925173.0
Benin,Africa,1962,gdpPercap,949.4990641
Benin,Africa,1962,lifeExp,42.618
Benin,Africa,1962,pop,2151895.0
Benin,Africa,1967,gdpPercap,1035.831411
Benin,Africa,1967,lifeExp,44.885
Benin,Africa,1967,pop,2427334.0
Benin,Africa,1972,gdpPercap,1085.796879
Benin,Africa,1972,lifeExp,47.014
Benin,Africa,1972,pop,2761407.0
Benin,Africa,1977,gdpPercap,1029.161251
Benin,Africa,1977,lifeExp,49.19
Benin,Africa,1977,pop,3168267.0
Benin,Africa,1982,gdpPercap,1277.897616
Benin,Africa,1982,lifeExp,50.904
Benin,Africa,1982,pop,3641603.0
Benin,Africa,1987,gdpPercap,1225.85601
Benin,Africa,1987,lifeExp,52.337
Benin,Africa,1987,pop,4243788.0
Benin,Africa,1992,gdpPercap,1191.207681
Benin,Africa,1992,lifeExp,53.919
Benin,Africa,1992,pop,4981671.0
Benin,Africa,1997,gdpPercap,1232.975292
Benin,Africa,1997,lifeExp,54.777
Benin,Africa,1997,pop,6066080.0
Benin,Africa,2002,gdpPercap,1372.877931
Benin,Africa,2002,lifeExp,54.406
Benin,Africa,2002,pop,7026113.0
Benin,Africa,2007,gdpPercap,1441.284873
Benin,Africa,2007,lifeExp,56.728
Benin,Africa,2007,pop,8078314.0
Botswana,Africa,1952,gdpPercap,851.2411407
Botswana,Africa,1952,lifeExp,47.622
Botswana,Africa,1952,pop,442308.0
Botswana,Africa,1957,gdpPercap,918.2325349
Botswana,Africa,1957,lifeExp,49.618
Botswana,Africa,1957,pop,474639.0
Botswana,Africa,1962,gdpPercap,983.6539764
Botswana,Africa,1962,lifeExp,51.52
Botswana,Africa,1962,pop,512764.0
